climcoordinates,wid,climlatitude,climlongitude
"68.22333333,-135.0058333",wid1,68.22333333,-135.0058333
"68.22333333,-135.0055556",wid2,68.22333333,-135.0055556
"50.72888889,-71.01305556",wid3,50.72888889,-71.01305556
"48.47194444,-67.43472222",wid4,48.47194444,-67.43472222
"46.01666667,-71.95",wid5,46.01666667,-71.95
"45.65,-73.73333333",wid6,45.65,-73.73333333
"46.66666667,-71.16666667",wid7,46.66666667,-71.16666667
"45.4,-72.26666667",wid8,45.4,-72.26666667
"45.18333333,-72.56666667",wid9,45.18333333,-72.56666667
"45.48333333,-71.95",wid10,45.48333333,-71.95
"59.29666667,-69.59972222",wid11,59.29666667,-69.59972222
"60.81861111,-78.14861111",wid12,60.81861111,-78.14861111
"45.55,-75.55",wid13,45.55,-75.55
"45.95,-74.61666667",wid14,45.95,-74.61666667
"48.85,-64.2",wid15,48.85,-64.2
"48.33333333,-71.0",wid16,48.33333333,-71
"46.70972222,-79.10111111",wid17,46.70972222,-79.10111111
"47.07861111,-70.78083333",wid18,47.07861111,-70.78083333
"48.37416667,-70.53527778",wid19,48.37416667,-70.53527778
"49.27861111,-73.35555556",wid20,49.27861111,-73.35555556
"47.28416667,-70.6375",wid21,47.28416667,-70.6375
"49.8225,-74.97527778",wid22,49.8225,-74.97527778
"46.46666667,-72.33333333",wid23,46.46666667,-72.33333333
"45.31666667,-74.16666667",wid24,45.31666667,-74.16666667
"49.77194444,-74.52805556",wid25,49.77194444,-74.52805556
"45.15,-71.8",wid26,45.15,-71.8
"45.81666667,-71.98333333",wid27,45.81666667,-71.98333333
"48.30863167,-67.252525",wid28,48.30863167,-67.252525
"49.77723833,-74.53029667",wid29,49.77723833,-74.53029667
"45.68333333,-76.43333333",wid30,45.68333333,-76.43333333
"45.51666667,-75.78333333",wid31,45.51666667,-75.78333333
"45.9,-75.08333333",wid32,45.9,-75.08333333
"50.16305556,-60.06166667",wid33,50.16305556,-60.06166667
"46.96666667,-71.03333333",wid34,46.96666667,-71.03333333
"48.36666667,-67.23333333",wid35,48.36666667,-67.23333333
"49.84027778,-71.16833333",wid36,49.84027778,-71.16833333
"49.76666667,-74.53333333",wid37,49.76666667,-74.53333333
"50.465,-59.63944444",wid38,50.465,-59.63944444
"49.25083333,-65.32472222",wid39,49.25083333,-65.32472222
"48.41944444,-64.31694444",wid40,48.41944444,-64.31694444
