oldidentifierfrompreviousfile,fid,src_agency,latitude,longitude,date,sizeha,cause,protzone,ecoz_name,wildlat1,coordinates,Unnamed: 0_y,coordinates1,climlatitude,climlongitude,firelat_radians,firelong_radians,climlat_radians,climlong_radians,distance_km
47903,328420,QC,52.5747,-76.5213,01-07-2019,408.5,L,nordique,Hudson Plain,"(50, 55]","52.5747,-76.5213",78,"53.6253,-77.7042",53.6253,-77.7042,0.917601618,-1.335548633,0.935938047,-1.356194133,140.9185739
47904,328421,QC,52.573,-76.5418,01-07-2019,34.5,L,nordique,Hudson Plain,"(50, 55]","52.573,-76.5418",45,"52.2264,-78.5225",52.2264,-78.5225,0.917571948,-1.335906425,0.911522636,-1.370476162,139.7059912
47905,328422,QC,50.9285,-78.0518,01-07-2019,141.9,L,nordique,Hudson Plain,"(50, 55]","50.9285,-78.0518",245,"51.4733,-78.7583",51.4733,-78.7583,0.888870008,-1.362260897,0.898378562,-1.374591648,78.00705409
47906,328423,QC,52.6186,-76.6953,28-06-2018,3096,L,Nordique,Hudson Plain,"(50, 55]","52.6186,-76.6953",78,"53.6253,-77.7042",53.6253,-77.7042,0.918367818,-1.338585506,0.935938047,-1.356194133,130.5403073
47907,328424,QC,51.1331,-77.98,28-06-2018,3006.4,L,Nordique,Hudson Plain,"(50, 55]","51.1331,-77.98",245,"51.4733,-78.7583",51.4733,-78.7583,0.892440952,-1.361007751,0.898378562,-1.374591648,65.97707449
47908,328425,QC,51.6069,-77.9611,28-06-2018,1234.5,L,Nordique,Hudson Plain,"(50, 55]","51.6069,-77.9611",245,"51.4733,-78.7583",51.4733,-78.7583,0.900710322,-1.360677883,0.898378562,-1.374591648,57.06414233
47909,328426,QC,51.5253,-78.1408,28-06-2018,1142.5,L,Nordique,Hudson Plain,"(50, 55]","51.5253,-78.1408",245,"51.4733,-78.7583",51.4733,-78.7583,0.899286133,-1.36381424,0.898378562,-1.374591648,43.10639098
47910,328427,QC,52.7987,-77.3304,05-07-2018,6.3,L,Nordique,Taiga Shield East,"(50, 55]","52.7987,-77.3304",78,"53.6253,-77.7042",53.6253,-77.7042,0.921511156,-1.349670092,0.935938047,-1.356194133,95.16435627
47911,328428,QC,51.9045,-76.6534,05-07-2018,81.1,L,Nordique,Hudson Plain,"(50, 55]","51.9045,-76.6534",45,"52.2264,-78.5225",52.2264,-78.5225,0.905904422,-1.337854213,0.911522636,-1.370476162,132.5998382
47912,328429,QC,52.6636,-77.5092,05-07-2018,0.5,L,Nordique,Hudson Plain,"(50, 55]","52.6636,-77.5092",45,"52.2264,-78.5225",52.2264,-78.5225,0.919153216,-1.352790741,0.911522636,-1.370476162,84.08818902
47913,328430,QC,52.0128,-76.5689,05-07-2018,25.5,L,Nordique,Hudson Plain,"(50, 55]","52.0128,-76.5689",45,"52.2264,-78.5225",52.2264,-78.5225,0.907794613,-1.33637941,0.911522636,-1.370476162,135.391473
47914,328431,QC,50.4564,-79.0594,08-07-2018,5608.9,L,Nordique,Hudson Plain,"(50, 55]","50.4564,-79.0594",245,"51.4733,-78.7583",51.4733,-78.7583,0.880630309,-1.379846835,0.898378562,-1.374591648,114.9508899
47915,328432,QC,51.771,-78.1346,11-07-2018,60.6,L,Nordique,Hudson Plain,"(50, 55]","51.771,-78.1346",245,"51.4733,-78.7583",51.4733,-78.7583,0.903574407,-1.36370603,0.898378562,-1.374591648,54.27667701
47916,328433,QC,52.0333,-77.0264,08-07-2018,1675,L,Nordique,Hudson Plain,"(50, 55]","52.0333,-77.0264",45,"52.2264,-78.5225",52.2264,-78.5225,0.908152406,-1.344364291,0.911522636,-1.370476162,104.288573
47917,328434,QC,50.1698,-79.517,15-07-2018,0.3,L,Intensive,Hudson Plain,"(50, 55]","50.1698,-79.517",115,"49.7578,-77.7931",49.7578,-77.7931,0.875628195,-1.387833461,0.868437439,-1.35774573,131.4568374
47918,328435,QC,51.9708,-76.24,30-07-2018,0.7,L,Nordique,Hudson Plain,"(50, 55]","51.9708,-76.24",45,"52.2264,-78.5225",52.2264,-78.5225,0.907061575,-1.330639022,0.911522636,-1.370476162,158.374716
47919,328436,QC,52.2725,-76.4034,05-06-2017,1698.7,L,Nordique,Hudson Plain,"(50, 55]","52.2725,-76.4034",45,"52.2264,-78.5225",52.2264,-78.5225,0.912327233,-1.33349089,0.911522636,-1.370476162,144.2557437
