,FID,SRC_AGENCY,LATITUDE,LONGITUDE,REP_DATE,SIZE_HA,CAUSE,PROTZONE,ECOZ_NAME,FireLocation,WeatherLocation,x,y,MAX_REL_HUMIDITY,LOCAL_DAY,ID,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,LOCAL_MONTH,TOTAL_RAIN,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_SNOW,MIN_TEMPERATURE,SNOW_ON_GROUND,Class
0,328420,QC,52.5747,-76.52129999999998,2019-06-01,0.0,L,nordique,Hudson Plain,"(52.5747, -76.52129999999998)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,1.0,7093716.2019.6.1,1.75,59.8,QC,6.0,0.0,LA GRANDE RIVIERE A,43.3,0.0,7093716,14.3,2019.0,0.0,-4.1,0.0,0
1,328421,QC,52.573,-76.54179999999998,2019-06-01,0.0,L,nordique,Hudson Plain,"(52.573, -76.54179999999998)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,1.0,7093716.2019.6.1,1.75,59.8,QC,6.0,0.0,LA GRANDE RIVIERE A,43.3,0.0,7093716,14.3,2019.0,0.0,-4.1,0.0,0
2,328451,QC,49.1275,-65.2352,2019-06-28,0.0,L,intensive,Atlantic Maritime,"(49.1275, -65.2352)","49.25083333333333,-65.32472222222222",-65.32472222222222,49.25083333333333,91.1,28.0,7051163.2019.6.28,5.6466666666666665,59.8,QC,6.0,0.0,CAP-MADELEINE,49.5,0.0,7051163,14.3,2019.0,0.0,-4.1,0.0,0
3,328573,QC,48.7306,-64.9126,2019-06-28,0.0,L,intensive,Atlantic Maritime,"(48.7306, -64.9126)","48.77527777777778,-64.47972222222222",-64.47972222222222,48.77527777777778,91.1,28.0,7052601.2019.6.28,15.733333333333333,33.266666666666666,QC,6.0,0.0,GASPE A,44.416666666666664,4.3,7052601,14.3,2019.0,0.0,-4.1,0.0,0
4,328876,QC,53.0048,-77.4008,2019-06-01,0.0,L,nordique,Taiga Shield East,"(53.0048, -77.4008)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,1.0,7093716.2019.6.1,1.75,59.8,QC,6.0,0.0,LA GRANDE RIVIERE A,43.3,0.0,7093716,14.3,2019.0,0.0,-4.1,0.0,0
5,328877,QC,53.251,-77.0446,2019-06-03,0.0,L,nordique,Taiga Shield East,"(53.251, -77.0446)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,3.0,7093716.2019.6.3,1.75,59.8,QC,6.0,0.0,LA GRANDE RIVIERE A,50.0,0.0,7093716,14.3,2019.0,0.0,-4.1,0.0,0
6,329354,QC,50.2769,-65.8676,2019-06-12,0.0,L,intensive,Boreal Shield East,"(50.2769, -65.8676)","50.21666666666667,-66.25",-66.25,50.21666666666667,91.1,12.0,7047914.2019.6.12,1.75,59.8,QC,6.0,0.0,SEPT-ILES,64.0,0.0,7047914,14.3,2019.0,0.0,-4.1,0.0,0
7,329545,QC,49.2399,-76.49689999999998,2019-06-28,0.0,L,intensive,Boreal Shield East,"(49.2399, -76.49689999999998)","49.757783333333336,-77.79307222222222",-77.79307222222222,49.757783333333336,91.1,28.0,7094637.2019.6.28,1.75,59.8,QC,6.0,0.0,MATAGAMI,38.0,0.0,7094637,14.3,2019.0,0.0,-4.1,0.0,0
8,329656,QC,48.0355,-77.68559999999998,2019-06-19,0.0,L,intensive,Boreal Shield East,"(48.0355, -77.68559999999998)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.1,19.0,7098605.2019.6.19,1.75,59.8,QC,6.0,0.0,VAL D'OR A,42.083333333333336,0.0,7098605,14.3,2019.0,0.0,-4.1,0.0,0
9,330077,QC,49.1926,-69.4599,2019-06-03,0.0,L,intensive,Boreal Shield East,"(49.1926, -69.4599)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,3.0,7042845.2019.6.3,11.6,57.4,QC,6.0,0.0,GRANDES-BERGERONNES,43.0,7.9,7042845,14.3,2019.0,0.0,-4.1,0.0,0
10,330078,QC,49.2471,-69.4751,2019-06-03,0.0,L,intensive,Boreal Shield East,"(49.2471, -69.4751)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,3.0,7042845.2019.6.3,11.6,57.4,QC,6.0,0.0,GRANDES-BERGERONNES,43.0,7.9,7042845,14.3,2019.0,0.0,-4.1,0.0,0
11,330307,QC,48.5594,-69.3014,2019-06-03,0.0,L,intensive,Boreal Shield East,"(48.5594, -69.3014)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,3.0,7042845.2019.6.3,11.6,57.4,QC,6.0,0.0,GRANDES-BERGERONNES,43.0,7.9,7042845,14.3,2019.0,0.0,-4.1,0.0,0
12,330981,QC,48.3432,-76.8157,2019-06-19,0.0,L,intensive,Boreal Shield East,"(48.3432, -76.8157)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.1,19.0,7098605.2019.6.19,1.75,59.8,QC,6.0,0.0,VAL D'OR A,44.583333333333336,0.0,7098605,14.3,2019.0,0.0,-4.1,0.0,0
13,331288,QC,47.721,-79.06879999999998,2019-07-06,0.0,L,intensive,Boreal Shield East,"(47.721, -79.06879999999998)","48.24583333333333,-79.03416666666666",-79.03416666666666,48.24583333333333,91.1,6.0,7086716.2019.7.6,1.75,59.8,QC,7.0,0.0,ROUYN,38.0,0.0,7086716,20.2,2019.0,0.0,12.2,0.0,0
14,331455,QC,47.3607,-77.6075,2019-06-13,0.0,L,intensive,Boreal Shield East,"(47.3607, -77.6075)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.1,13.0,7098605.2019.6.13,1.75,59.8,QC,6.0,0.0,VAL D'OR A,41.0,0.0,7098605,14.3,2019.0,0.0,-4.1,0.0,0
15,331601,QC,47.2778,-78.0481,2019-05-25,0.0,L,intensive,Boreal Shield East,"(47.2778, -78.0481)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.1,25.0,7098605.2019.5.25,16.673333333333332,59.8,QC,5.0,0.0,VAL D'OR A,55.0,10.8,7098605,14.3,2019.0,0.0,-4.1,0.0,0
16,331605,QC,47.558,-78.21009999999998,2019-06-11,0.0,L,intensive,Boreal Shield East,"(47.558, -78.21009999999998)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.1,11.0,7098605.2019.6.11,9.726666666666667,59.8,QC,6.0,0.0,VAL D'OR A,54.0,0.0,7098605,14.3,2019.0,0.0,-4.1,0.0,0
17,367117,QC,51.1411,-69.3006,2011-05-07,0.0,L,intensive,Boreal Shield East,"(51.1411, -69.3006)","50.65638888888889,-70.53194444444445",-70.53194444444445,50.65638888888889,91.1,7.0,706I155.2011.5.7,4.0,59.8,QC,5.0,0.0,MANOUANE EST,0.0,0.0,706I155,7.5,2011.0,0.0,-4.1,0.0,0
